s.n.,name_of_province,district_name_english,district_name_nepali,palika_name_english,palika_name_nepali,palika_type,total_wards,municipal_center_english,municipal_center_nepali,municipal_center_sec_source,total_palikas,website,email,area_sq_km,total_population,total_male,total_female,total_households,long,lat,remarks
382,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Balephi Gaunpalika,बलेफी गाउँपालिका,Gaunpalika,8,Fulpingdanda,फुल्पिङ्डाँडा,Fulpingdanda,1,http://www.balephimun.gov.np/,,61.62,18909,9002,9907,4429,85.795895,27.7602,
383,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Bhotekoshi Gaunpalika,भोटेकोशी गाउँपालिका,Gaunpalika,5,Fulpingkatti,फुल्पिङ्कत्ति,Fulpingkatti,3,http://www.bhotekoshimun.gov.np/,,278,16631,8431,8200,4183,85.920737,27.906738,
384,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Choutara Sangachowkgadhi Municipality,चौतारा साँगाचोकगढी नगरपालिका,Nagarpalika,14,Chautara,चौतारा,Chautara,4,http://www.chautarasangachowkgadhimun.gov.np/,,165,46497,21272,25225,10906,85.712088,27.77848,
385,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Helambu Gaunpalika,हेलम्बु गाउँपालिका,Gaunpalika,7,Bahun Dhodaeni,बहुन ढोदएनि,Bahun Dhodaeni,5,http://www.helambumun.gov.np/,helamburm@gmail.com,288,18714,9050,9664,4481,85.555104,27.928597,
386,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Indrawoti Gaunpalika,ईन्द्रावती गाउँपालिका,Gaunpalika,12,Nawalpur,नवल्पुर्,Nawalpur,6,http://www.indrawatimun.gov.np/,indrawatigaupalika@gmail.com,105,28517,13376,15141,6211,85.62526,27.815535,
387,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Jugal Gaunpalika,जुगल गाउँपालिका,Gaunpalika,7,Baramchi,बाराम्चि,Baramchi,7,http://www.jugalmun.gov.np/,,597,20587,10245,10342,4222,85.77415,27.836467,
388,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Lisankhu Pakhar Gaunpalika,लिसंखु पाखर गाउँपालिका,Gaunpalika,7,Attarpur,अत्तर्पुर्,Attarpur,8,http://www.lisankhupakharmun.gov.np/,lisankhupakharmun@gmail.com,98.62,14751,6929,7822,3577,85.884173,27.67278,
389,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Melanchi Municipality,मेलम्ची नगरपालिका,Nagarpalika,13,Melanchi,मेलन्चि,Melanchi,9,http://www.melamchimun.gov.np/,,161,46828,22425,24403,10434,85.572617,27.831064,
390,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Panchpokhari Thangpal Gaunpalika,पाँचपोखरी थाङपाल गाउँपालिका,Gaunpalika,8,"Tar, Thampaldhap","टर्, ठम्पल्धप्","Tar, Thampaldhap",10,http://www.panchpokharithangpalmun.gov.np/,ito.pachpokharithangpalmun@gmail.com,436,21993,11232,10761,5288,85.630537,27.90282,
391,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Sunkoshi Gaunpalika,सुनकोशी गाउँपालिका,Gaunpalika,7,Pangretar,पङ्रेतर्,Pangretar,11,http://www.sunkoshimunsindhuli.gov.np/,info@sunkoshimunsindhuli.gov.np,72.86,17628,8055,9573,4462,85.900485,27.406635,
392,3,SINDHUPALCHOK,सिन्धुपाल्चोक,Tripurasundari Gaunpalika,त्रिपुरासुन्दरी गाउँपालिका,Gaunpalika,6,Piskar,पिस्कर,Salyantar,12,,ito.pachpokharithangpalmun@gmail.com,94.29,13197,6215,6982,3394,84.824767,28.01233,
393,4,BAGLUNG,बागलुङ,Badigad Gaunpalika,बडिगाड गाउँपालिका,Gaunpalika,10,Gwalichaur,ग्वालिचौर्,Gwalichaur,,http://www.badigadmun.gov.np/,badigadruralmunicipality@gmail.com,178.68,30906,13591,17315,6228,83.216986,28.244831,
394,4,BAGLUNG,बागलुङ,Baglung Municipality,बाग्लुङ्ग नगरपालिका,Nagarpalika,14,Baglung,बाग्लुङ,Baglung,,http://www.baglungmun.gov.np/,,98.9,57953,25608,32345,15185,83.5941,28.269887,
395,4,BAGLUNG,बागलुङ,Bareng Gaunpalika,बरेङ गाउँपालिका,Gaunpalika,5,Hugdisheer,हुग्दिशीर्,Hugdishir,,http://www.barengmun.gov.np/,barengrm@gmail.com,75.28,15093,6403,8690,3467,83.497835,28.136228,
396,4,BAGLUNG,बागलुङ,Dhorpatan Municipality,ढोरपाटन नगरपालिका,Nagarpalika,9,Burtiwang,बुर्तिवङ्,Burtiwang,,http://www.dhorpatanmun.gov.np/,,222.85,24082,10738,13344,5369,83.160181,28.331657,
397,4,BAGLUNG,बागलुङ,Galkot Municipality,गल्कोट नगरपालिका,Nagarpalika,11,Harichaur,हरिचौर्,Harichaur,,http://www.galkotmun.gov.np/,,194.39,33832,14652,19180,7842,83.425204,28.22537,
398,4,BAGLUNG,बागलुङ,Jaimuni Municipality,जैमुनी नगरपालिका,Nagarpalika,10,Kushmishera,कुश्मिशेरा,Kushmishera,,http://www.jaiminimun.gov.np/,,118.71,26651,11323,15328,6185,83.613599,28.182203,
399,4,BAGLUNG,बागलुङ,Kathekhola Gaunpalika,काठेखोला गाउँपालिका,Gaunpalika,8,Bihunkot,बिहुन्कोत्,Bihunkot,,http://www.kathekholamun.gov.np/,info@kathekholamun.gov.np / kathekholagahunpalika123@gmail.com,82.88,25934,11017,14917,6090,83.539399,28.262457,
400,4,BAGLUNG,बागलुङ,Nisikhola Gaunpalika,निसीखोला गाउँपालिका,Gaunpalika,7,Devisthan,डेविस्थान,Devisthan,,http://www.nisikholamun.gov.np/,info@nisikholamun.gov.np,244.37,22883,10021,12862,4816,83.08820394,28.34904634,
401,4,BAGLUNG,बागलुङ,Tamankhola Gaunpalika,तमानखोला गाउँपालिका,Gaunpalika,6,Bongadovan,बोङदोवन्,Bongadovan,,http://www.tamankholamun.gov.np/,info@tamankholamun.gov.np,178.02,13005,5842,7163,2790,83.20306253,28.39930903,
402,4,BAGLUNG,बागलुङ,Tarakhola Gaunpalika,ताराखोला गाउँपालिका,Gaunpalika,5,Argal,अर्गल्,Argal,,http://www.tarakholamun.gov.np/,info@tarakholamun.gov.np,129.53,12009,5365,6644,2495,83.42765,28.283429,
403,4,GORKHA,गोरखा,Aarughat Gaunpalika,आरुघाट गाउँपालिका,Gaunpalika,10,Aaru Chanaute,आरु चनौते,Aaru Chanaute,,http://www.aarughatmun.gov.np/,rm.arughat@gmail.com,160.79,23884,10639,13245,5614,84.813539,28.0482303,
404,4,GORKHA,गोरखा,Ajirkot Gaunpalika,अजिरकोट गाउँपालिका,Gaunpalika,5,Hansapur,हन्सपुर्,Hansapur,,http://www.ajirkotmun.gov.np/,ajirkotrm@gmail.com,198.05,15847,7279,8568,3663,84.647732,28.1558193,
405,4,GORKHA,गोरखा,Barpak Sulikot Gaunpalika,बारपाक सुलीकोट गाउँपालिका,Gaunpalika,8,Takukot,टकुकोत्,Takukot,,http://www.sulikotmun.gov.np/,,200.63,25389,11103,14286,5829,84.66545128,28.06627611,
406,4,GORKHA,गोरखा,Bhimsen Thapa Gaunpalika,भिमसेन थापा गाउँपालिका,Gaunpalika,8,Masel Ghyampesaal,मसेल घ्यम्पेसाल्,Baguwa,,http://www.bhimsenmun.gov.np/,,101.25,22033,9496,12537,5438,84.716701,28.035884,
407,4,GORKHA,गोरखा,Chumanubri Gaunpalika,चुमनुब्री गाउँपालिका,Gaunpalika,7,Sirdibas,सिर्दिबस्,Sirdibas,,http://www.chumanuwrimun.gov.np/,,1648.65,6923,3258,3665,1949,84.88936184,28.38128198,
408,4,GORKHA,गोरखा,Dharche Gaunpalika,धार्चे गाउँपालिका,Gaunpalika,7,Gumda,गुम्द,Gumda,,http://www.dharchemun.gov.np/,rmdharche@gmail.com,651.52,13458,6086,7372,3183,84.87211944,28.22965556,
409,4,GORKHA,गोरखा,Gandaki Gaunpalika,गण्डकी गाउँपालिका,Gaunpalika,8,Bhumlichok,भुम्लिचोक्,Bhumlichok,,http://www.gandakimun.gov.np/,ito.gandakirm@gmail.com,123.86,23255,10629,12626,5288,84.691926,27.844985,
410,4,GORKHA,गोरखा,Gorkha Municipality,गोरखा नगरपालिका,Nagarpalika,14,Gorkha,गोर्खा,Gorkha,,http://www.gorkhamun.gov.np/,,131.86,49272,21959,27313,13127,84.623366,27.986796,
411,4,GORKHA,गोरखा,Palungtar Municipality,पालुङ्गटार नगरपालिका,Nagarpalika,10,Palungtar,पलुङ्तर्,Palungtar,,http://www.palungtarmun.gov.np/,,158.62,38174,16604,21570,9924,84.487682,28.051419,
412,4,GORKHA,गोरखा,Shahid Lakhan Gaunpalika,शहीद लखन गाउँपालिका,Gaunpalika,9,Ghairung ?,घैरुङ ?,Ghairung,,http://www.shahidlakhanmun.gov.np/,sahidlakhanrm@gmail.com,148.97,27555,12065,15490,6682,84.664161,27.923998,
413,4,GORKHA,गोरखा,Siranchowk Gaunpalika,सिरानचोक गाउँपालिका,Gaunpalika,8,Chhoprak,छोप्रक्,Chhoprak,,http://www.siranchowkmun.gov.np/,info@siranchowkmun.gov.np,121.66,23628,10521,13107,5896,84.589112,28.052425,
414,4,KASKI,कास्की,Annapurna Gaunpalika,अन्नपूर्ण गाउँपालिका,Gaunpalika,11,Machapokhari,माछापोखरि,Machapokhari,,http://www.annapurnamunkaski.gov.np/,"annapurna.ruralmun@gmail.com,",417.74,26080,11848,14232,6706,83.855791,28.282582,
415,4,KASKI,कास्की,Machhapuchchhre Gaunpalika,माछापुच्छर््े गाउँपालिका,Gaunpalika,9,Lahachowk,लहचोक,Lahachowk,,http://www.machhapuchhremun.gov.np/,info@machhapuchhremun.gov.np,544.58,23402,10673,12729,5933,83.92547,28.3065,
416,4,KASKI,कास्की,Madi Gaunpalika,मादी गाउँपालिका,Gaunpalika,12,Thumakodanda,ठुमकोडाँडा,Thumakodanda,,http://www.madimunkaski.gov.np/,,563,20670,9368,11302,5134,84.100756,28.255821,
417,4,KASKI,कास्की,Pokhara Lekhnath Metropolitian City,पोखरा लेखनाथ महानगरपालिका,Mahanagarpalika,33,Pokhara,पोखरा,Pokhara,,http://www.pokharamun.gov.np,,464.24,405106,193900,211206,106168,83.986254,28.2181,
418,4,KASKI,कास्की,Rupa Gaunpalika,रूपा गाउँपालिका,Gaunpalika,7,Rupakot,रुपाकोत,Rupakot,,http://www.rupamun.gov.np/,,94.81,14519,6289,8230,3780,84.14344433,28.15348056,
419,4,LAMJUNG,लमजुङ,Bensi Shahar Municipality,बेंसीशहर नगरापालिका,Nagarpalika,11,Bensi Shahar,बेन्सी शहर,Bensi Shahar,,http://www.besishaharmun.gov.np/,,127.64,39825,17882,21943,10529,84.38139,28.22399,
420,4,LAMJUNG,लमजुङ,Dordi Gaunpalika,दोर्दी गाउँपालिका,Gaunpalika,9,Nauthar,नौथर्,Nauthar,,http://www.dordimun.gov.np/,info@dordimun.gov.np,350.93,18252,8337,9915,4337,84.45886,28.1964,
421,4,LAMJUNG,लमजुङ,Dudhapokhari Gaunpalika,दुधपोखरी गाउँपालिका,Gaunpalika,6,Lewarchwok,लेवर्च्वोक्,Lewarchwok,,http://www.dudhpokharimun.gov.np/,ito.doodhpokharimun@gmail.com,153.33,10975,5020,5955,2590,84.51956033,28.16320017,
422,4,LAMJUNG,लमजुङ,Kwhola Sothar Gaunpalika,क्व्होलासोथार गाउँपालिका,Gaunpalika,9,Maling,मलिङ्,Maling,,http://www.kwholasotharmun.gov.np/,kwholasotharrmun@gmail.com,175.37,10053,4526,5527,2458,84.28696,28.23729,
423,4,LAMJUNG,लमजुङ,Madhya Nepal Municipality,मध्यनेपाल नगरपालिका,Nagarpalika,10,Karaputar,करपुतर,Karaputar,,http://www.madhyanepalmun.gov.np/,,113.86,23385,10469,12916,5888,84.238,28.15499,
424,4,LAMJUNG,लमजुङ,Marshyangdi Gaunpalika,मस्र्याङ्गदी गाउँपालिका,Gaunpalika,9,Bhulbhule,भुल्भुले,Bhulbhule,,http://www.marsyangdimun.gov.np/,info@marsyangdimun.gov.np,597.25,18254,8408,9846,4282,84.36987,28.29032,
425,4,LAMJUNG,लमजुङ,Rainas Municipality,राईनास नगरपालिका,Nagarpalika,10,Rainas,रैनस्,Rainas,,http://www.rainasmun.gov.np/,,71.97,18527,8099,10428,4751,84.497716,28.094083,
426,4,LAMJUNG,लमजुङ,Sundarbazar Municipality,सुन्दरबजार नगरपालिका,Nagarpalika,11,Sundarbazar,सुन्दर बजार,Sundarbazar,,http://www.sundarbazarmun.gov.np/,,72.05,27008,11825,15183,7246,84.4107413,28.12821761,
427,4,MANANG,मनाङ,Chame Gaunpalika,चामे गाउँपालिका,Gaunpalika,5,Chame,चमे,Chame,,http://www.chamemun.gov.np/,chamegaupalika@gmail.com,78.86,1129,597,532,279,84.239227,28.553475,
428,4,MANANG,मनाङ,Manang Nisyang Gaunpalika,मनाङ डिस्याङ गाउँपालिका,Gaunpalika,9,Humde,हुम्दे,Humde,,http://www.nesyangmun.gov.np/,manangngisyangrmun@gmail.com,694.63,1948,1054,894,520,84.09062683,28.63845794,
429,4,MANANG,मनाङ,Narpabhumi Gaunpalika,नार्पा भूमि गाउँपालिका,Gaunpalika,5,Chyangkhu,च्यङ्खु,Chyangkhu,,,,837.54,538,258,280,122,84.19869492,28.68097763,
430,4,MANANG,मनाङ,Narsho Gaunpalika,नार्शो गाउँपालिका,Gaunpalika,9,Dharapani,ढारापनि,Dharapani,,http://www.nashongmun.gov.np/,nashongrm@gmail.com,709.58,2322,1145,1177,544,84.35856672,28.51867308,
431,4,MUSTANG,मुस्ताङ,Gharpajhong Gaunpalika,घरपझोङ गाउँपालिका,Gaunpalika,5,Jomsom,जोमसोम्,Jomsom,,,,316.87,3029,1594,1435,874,83.738165,28.784836,
432,4,MUSTANG,मुस्ताङ,Lho-Ghekar Damodarkunda Gaunpalika,लो–घेकर दामोदरकुण्ड गाउँपालिका,Gaunpalika,5,Charang,चराङ्,Charang,,http://www.dalomemun.gov.np/,,1347.25,1423,682,741,404,83.93223907,29.09255416,
433,4,MUSTANG,मुस्ताङ,Lomanthang Gaunpalika,लोमन्थाङ गाउँपालिका,Gaunpalika,5,Lomanthang,लोमन्थाङ्,Lomanthang,,http://www.lomanthangmun.gov.np/,,724.02,1899,868,1031,532,83.956316,29.18149,
434,4,MUSTANG,मुस्ताङ,Thasang Gaunpalika,थासाङ गाउँपालिका,Gaunpalika,5,Kobang,कोबाङ्ग्,Kobang,,http://www.thasangmun.gov.np/,ito.thasangmun@gmail.com,289.53,2912,1506,1406,770,83.618147,28.692461,
435,4,MUSTANG,मुस्ताङ,Waragung Muktikshetra Gaunpalika,वारागुङ मुक्तिक्षेत्र गाउँपालिका,Gaunpalika,5,Kagbeni,कागबेनि,Kagbeni,,http://www.bahragaumuktichhetramun.gov.np/,baragaunmuktichhetra@gmail.com,885.78,2508,1208,1300,781,83.78426,28.83679,
436,4,MYAGDI,म्याग्दी,Annapurna Gaunpalika,अन्नपूर्ण गाउँपालिका,Gaunpalika,8,Pokharebagar,पोखरेबगर्,Pokharebagar,,http://www.annapurnamunmyagdi.gov.np/,ito.topkumarpun@gmail.com,556.42,11304,5224,6080,3143,83.6438,28.4816,
437,4,MYAGDI,म्याग्दी,Beni Municipality,बेनी नगरपालिका,Nagarpalika,10,Beni,बेनि,Beni,,http://www.benimun.gov.np/,,76.57,33498,15002,18496,8652,83.563551,28.342609,
438,4,MYAGDI,म्याग्दी,Dhawalagiri Gaunpalika,धवलागिरी गाउँपालिका,Gaunpalika,7,Satmule Ghattekhola,सत्मुले घाटतेखोल,Satmule Ghattekhola,,http://www.dhawalagirimun.gov.np/,dhawalagirigapa@gmail.com,858.63,13913,6251,7662,3183,83.32711456,28.50033862,
439,4,MYAGDI,म्याग्दी,Malika Gaunpalika,मालिका गाउँपालिका,Gaunpalika,7,Darbang,डर्बाङ्ग्,Darbang,,http://www.malikamunmyagdi.gov.np/,malika.mun07@gmail.com,147.17,19121,8605,10516,4223,83.385089,28.412778,
440,4,MYAGDI,म्याग्दी,Mangala Gaunpalika,मंगला गाउँपालिका,Gaunpalika,5,Babiyachaur,बबियचौर्,Babiyachaur,,http://www.mangalamun.gov.np/,mangalarumun1127@gmail.com,88.84,16286,7114,9172,3825,83.45348,28.38858,
441,4,MYAGDI,म्याग्दी,Raghuganga Gaunpalika,रघुगंगा गाउँपालिका,Gaunpalika,8,Mauwaphat,मौवाफत्,Mauwaphat,,http://www.raghugangamun.gov.np/,raghugangagapa@gmail.com,379.13,15944,6964,8980,4144,83.55228,28.4015,
442,4,NAWALPARASI_E,नवलपरासी,Baudikali Gaunpalika,बौदीकाली गाउँपालिका,Gaunpalika,6,Babak,बाबाक्,Babak,,,,91.87,15734,6990,8744,2998,84.08713,27.8514,
443,4,NAWALPARASI_E,नवलपरासी,Binayi Tribeni Gaunpalika,बिनयी त्रिवेणी गाउँपालिका,Gaunpalika,5,Dumkibas,डुम्किबस्,Dumkibas,,,,288.07,32943,14774,18169,6916,83.865997,27.581849,
444,4,NAWALPARASI_E,नवलपरासी,Bulingtar Gaunpalika,बुलिङ्गटार गाउँपालिका,Gaunpalika,6,Bulingtar,बुलिङ्तार्,Bulingtar,,,,147.68,19122,8663,10459,3487,84.19068,27.83556,
445,4,NAWALPARASI_E,नवलपरासी,Devchuli Municipality,देवचुली नगरपालिका,Nagarpalika,17,Devchauli,डेवचौलि,Devchauli,,http://www.devchulimun.gov.np/,,112.72,42603,19603,23000,9256,84.19056,27.67861,
446,4,NAWALPARASI_E,नवलपरासी,Gaidakot Municipality,गैडाकोट नगरपालिका,Nagarpalika,18,Gaidakot,गैंडाकोट,Gaidakot,,,,159.93,58841,28209,30632,13623,84.391276,27.705017,
447,4,NAWALPARASI_E,नवलपरासी,Hupsekot Gaunpalika,हुप्सेकोट गाउँपालिका,Gaunpalika,6,Deuraliu,डेउरलिउ,Deurali,,,,189.21,25065,11272,13793,4588,84.062451,27.690615,
448,4,NAWALPARASI_E,नवलपरासी,Kawasoti Municipality,कावासोती नगरपालिका,Nagarpalika,17,Kawasoti,कवसोति,Kawasoti,,http://www.kawasotimun.gov.np/,,108.34,62421,28616,33805,14104,84.126295,27.645785,
449,4,NAWALPARASI_E,नवलपरासी,Madhya Bindu Municipality,मध्यबिन्दु नगरपालिका,Nagarpalika,15,Madhya Bindu,मध्य बिन्दु,Madhya Bindu,,http://www.madhyabindumun.gov.np/,,233.35,54140,24057,30083,11943,84.015695,27.61682,
450,4,PARBAT,पर्वत,Bihadi Gaunpalika,बिहादी गाउँपालिका,Gaunpalika,6,Wahakithanti,वहाँकिथन्ति,Wahakithanti,,http://www.bihadimun.gov.np/,bihadi.ruralmun@gmail.com,44.8,13403,5849,7554,2941,83.592504,28.045734,
451,4,PARBAT,पर्वत,Jaljala Gaunpalika,जलजला गाउँपालिका,Gaunpalika,9,Lamakhet,लामाखेत,Lamakhet,,http://www.jaljalamun.gov.np/,jaljala2018@gmail.com,82.26,21454,9708,11746,5561,83.576832,28.335051,
452,4,PARBAT,पर्वत,Kushma Municipality,कुश्मा नगरपालिका,Nagarpalika,14,Kushma,कुश्मा,Kushma,,http://www.kushmamun.gov.np/,,93.18,39600,17739,21861,10311,83.678742,28.220288,
453,4,PARBAT,पर्वत,Mahashila Gaunpalika,महाशिला गाउँपालिका,Gaunpalika,6,Balakot,बाला कोत्,Balakot,,http://www.mahashilamun.gov.np/,mahashilagapa@gmail.com,49.38,9858,4392,5466,2229,83.67404,28.08375,
454,4,PARBAT,पर्वत,Modi Gaunpalika,मोदी गाउँपालिका,Gaunpalika,8,Deupur,डेउपुर्,Deupur,,http://www.modimun.gov.np/,info@modimun.gov.np,143.6,21401,9323,12078,5506,83.73851,28.272042,
455,4,PARBAT,पर्वत,Paiyu Gaunpalika,पैयुं गाउँपालिका,Gaunpalika,7,Huwas,हुवस्,Huwas,,http://www.paiyunmun.gov.np/,paiyungapa@gmail.com,42.65,15381,6795,8586,3294,83.666535,28.042783,
456,4,PARBAT,पर्वत,Phalebas Municipality,फलेबास नगरपालिका,Nagarpalika,11,Khanigaun,खानी गाउँ,Khanigaun,,http://www.phalewasmun.gov.np/,,85.7,24687,10665,14022,5883,83.654,28.16714,
457,4,SYANGJA,स्याङजा,Aandhikhola Gaunpalika,आँधिखोला गाउँपालिका,Gaunpalika,6,Setidobhan,सेतीदोभान्,Setidobhan,,http://www.aandhikholamun.gov.np/,andhikholarm@gmail.com,69.61,16589,7072,9517,4125,83.81895332,28.15700177,
458,4,SYANGJA,स्याङजा,Arjun Choupari Gaunpalika,अर्जुनचौपारी गाउँपालिका,Gaunpalika,6,Arjun Choupari,अर्जुन चोउपरि,Arjun Choupari,,http://www.arjunchauparimun.gov.np/,arjunchaupari11@gmail.com,57.22,16179,6952,9227,3938,83.777541,28.092284,
459,4,SYANGJA,स्याङजा,Bhirkot Municipaity,भीरकोट नगरपालिका,Nagarpalika,9,Bhirkot,भिर्कोत्,Bhirkot,,http://www.bheerkotmun.gov.np/,,78.23,25805,11101,14704,6189,83.788228,28.032058,
460,4,SYANGJA,स्याङजा,Biruwa Gaunpalika,बिरुवा गाउँपालिका,Gaunpalika,8,Biruwa,बिरुवा,Biruwa,,http://www.biruwamun.gov.np/,biruwaruralmun@gmail.com,95.79,19532,8498,11034,4569,83.89907,28.019198,
461,4,SYANGJA,स्याङजा,Chapakot Municipality,चापाकोट नगरपालिका,Nagarpalika,10,Chapakot,चापाकोत्,Chapakot,,http://www.chapakotmun.gov.np/,,120.59,26348,11194,15154,5991,83.821324,27.886195,
462,4,SYANGJA,स्याङजा,Galyang Municipality,गल्याङ नगरपालिका,Nagarpalika,11,Galyang Bazar,गल्यङ बजार,Galyang Bazar,,http://www.galyangmun.gov.np/,,122.71,38189,16661,21528,8386,83.675276,27.941997,
463,4,SYANGJA,स्याङजा,Harinas Gaunpalika,हरिनास गाउँपालिका,Gaunpalika,7,Chitre Bhanjyang,चित्रे भञ्ज्याङ्,Chitre Bhanjyang,,http://www.harinasmun.gov.np/,harinasruralmunicipality@gmail.com,87.48,16366,7081,9285,3662,83.962993,27.991467,
464,4,SYANGJA,स्याङजा,Kaligandaki Gaunpalika,कालीगण्डकी गाउँपालिका,Gaunpalika,7,Birgha,बिर्घ,Birgha Archale,,,,73.51,21718,9372,12346,4972,83.5229452,28.0914817,
465,4,SYANGJA,स्याङजा,Phedikhola Gaunpalika,फेदीखोला गाउँपालिका,Gaunpalika,5,Phedikhola,फेदिखोल,Phedikhola,,http://www.phedikholamun.gov.np/,info@phedikholamun.gov,56.73,11114,4784,6330,2728,83.884523,28.156598,
466,4,SYANGJA,स्याङजा,Putalibazar Municipality,पुतलीबजार नगरपालिका,Nagarpalika,14,Putalibazar,पुतलिबजार,Putalibazar,,http://www.putalibazarmun.gov.np/,,147.21,44734,19568,25166,11862,83.874795,28.097914,
467,4,SYANGJA,स्याङजा,Walling Municipality,वालिङ्ग नगरपालिका,Nagarpalika,14,Walling,वाल्लिङ्,Walling,,http://www.walingmun.gov.np/,,128.4,50299,22113,28186,11908,83.764095,27.982722,
468,4,TANAHU,तनहुँ,Aanbu Khaireni Gaunpalika,आँबुखैरेनी गाउँपालिका,Gaunpalika,6,Aanbu Khaireni,आन्बु खैरेनि,Aanbu Khaireni,,http://www.aanbookhairenimun.gov.np/,ito.aanbookhairenimun@gmail.com,128,20768,9504,11264,4911,84.530981,27.909669,
469,4,TANAHU,तनहुँ,Bandipur Gaunpalika,बन्दिपुर गाउँपालिका,Gaunpalika,6,Bandipur,बन्दिपुर्,Bandipur,,http://www.bandipurmun.gov.np/,info@bandipurmun.gov.np,101.54,20013,9048,10965,4853,84.40748,27.93848,
470,4,TANAHU,तनहुँ,Bhanu Municipality,भानु नगरपालिका,Nagarpalika,13,Bhanu,भानु,Bhanu,,http://www.bhanumun.gov.np/,,184.29,45792,19661,26131,12095,84.4176318,28.0023661,
471,4,TANAHU,तनहुँ,Bhimad Municipality,भिमाद नगरपालिका,Nagarpalika,9,Bhimad,भिमद्,Bhimad,,http://www.bhimadmun.gov.np/,,129.3,31362,13360,18002,7488,84.08222222,27.97779167,
472,4,TANAHU,तनहुँ,Byas Municipality,ब्यास नगरपालिका,Nagarpalika,14,Byas,व्यास,Byas,,http://www.vyasmun.gov.np/,,247.73,70335,31260,39075,18339,84.267222,27.975344,
473,4,TANAHU,तनहुँ,Devghat Gaunpalika,देवघाट गाउँपालिका,Gaunpalika,5,Devghat,डेव्घाट,Devghat,,http://www.devghatmun.gov.np/,"info@devghatmun.gov.np,",159.45,16131,7484,8647,3435,84.43273,27.749173,
474,4,TANAHU,तनहुँ,Ghiring Gaunpalika,घिरिङ्ग गाउँपालिका,Gaunpalika,5,Pokharichap,पोखरिचप्,Pokharichap,,http://www.ghiringmun.gov.np/,,126.35,19318,8225,11093,4137,84.05320278,27.91292778,
475,4,TANAHU,तनहुँ,Myagde Gaunpalika,म्याग्दे गाउँपालिका,Gaunpalika,7,Chhang,छङ्,Chhang,,http://www.myagdemun.gov.np/,myagderumun@gmail.com,115.36,22502,9886,12616,5628,84.164643,27.997395,
476,4,TANAHU,तनहुँ,Rhishing Gaunpalika,ऋषिङ्ग गाउँपालिका,Gaunpalika,8,Kot Darbar,कोत डर्बर्,Kot Darbar,,,rishingmun@gmail.com,215.06,25870,11140,14730,5215,84.1769,27.92259,
477,4,TANAHU,तनहुँ,Shuklagandaki Municipality,शुक्लागण्डकी नगरपालिका,Nagarpalika,12,Shuklagandaki ???,सुक्लागण्डकी ? ? ?,Shuklagandaki,,http://www.shuklagandakimun.gov.np/,,164.77,48456,21292,27164,12185,84.074781,28.050786,
478,5,ARGHAKHANCHI,अर्घाखाँची,Bhumekasthan,भुमिकास्थान नगरपालिका,Nagarpalika,10,Nuwakot,नुवाकोट,Nuwakot,1,http://www.bhumikasthanmun.gov.np/,,159,32640,13935,18705,7727,83.055224,27.96584,
479,5,ARGHAKHANCHI,अर्घाखाँची,Chhatradev,छत्रदेव गाउँपालिका,Gaunpalika,8,Chhatraganj,छात्रगन्ज्,Chhatraganj,2,http://www.chhatradevmun.gov.np/,chhatradev.ruralmun@gmail.com,87.62,25335,10371,14964,6341,83.223919,28.00773,
480,5,ARGHAKHANCHI,अर्घाखाँची,Malarani,मालारानी गाउँपालिका,Gaunpalika,9,Khanadaha,खानदह,Khanadaha,3,http://www.malaranimun.gov.np/,malaraniruralmun@gmail.com,101,28044,11869,16175,6824,83.123001,28.05875,
481,5,ARGHAKHANCHI,अर्घाखाँची,Panini,पाणिनी गाउँपालिका,Gaunpalika,8,Durgaphat,डुर्गाफत्,Durgaphat,4,http://www.paninimun.gov.np/,,151,26424,11144,15280,6152,83.3087421,27.8737559,
482,5,ARGHAKHANCHI,अर्घाखाँची,Sandhikharka,सन्धिखर्क नगरपालिका,Nagarpalika,12,Sandhikharka,सन्धिखर्क,Sandhikharka,5,http://www.sandhikharkamun.gov.np/,,129,41079,18262,22817,10581,83.124474,27.9706724,
483,5,ARGHAKHANCHI,अर्घाखाँची,Sitganga,शितगंगा नगरपालिका,Nagarpalika,14,Thada,ठाद,Thada,6,http://www.shitagangamun.gov.np,,610,43373,19969,23404,9201,83.063213,27.82506,
484,5,BANKE,बाँके,Baijanath,बैजनाथ गाउँपालिका,Gaunpalika,8,Rampur,राम्पुर्,Rampur,1,http://www.baijanathmun.gov.np/,info@baijanathmun.gov.np,142,59848,27898,31950,12255,81.623956,28.20363,
485,5,BANKE,बाँके,Duduwa,डुडुवा गाउँपालिका,Gaunpalika,6,Bankatti,बैंकअत्ति,Bankatti,2,http://www.duduwamun.gov.np/,,91.09,37460,19277,18183,6590,81.69795,28.04604,
